,maximum,minimum
EX_ac(e),1.5266507823152797,1.5264766207160196
EX_ala_L(e),-0.010864520923694972,-0.010879249200633902
EX_alaasp(e),0.0,0.0
EX_alagln(e),0.0,0.0
EX_alaglu(e),0.0,0.0
EX_alagly(e),0.0,0.0
EX_alahis(e),0.0,0.0
EX_alaleu(e),0.0,0.0
EX_alathr(e),0.0,0.0
EX_asn_L(e),-0.2249679624868258,-0.225
EX_aso3(e),0.0,0.0
EX_aso4(e),0.0,0.0
EX_asp_L(e),-0.22496796517529485,-0.225
EX_biomass(e),0.0,0.0
EX_btn(e),2.3787130747501642e-23,-1.95736944086543e-05
EX_ca2(e),0.0,-1.7838443549747998e-07
EX_cd2(e),8.97787836481289e-29,0.0
EX_cgly(e),0.0,-3.9145518677384265e-05
EX_cl(e),-7.191544323680067e-30,-7.191544323680067e-30
EX_co2(e),2.227247136031348,2.2271343052237955
EX_cobalt2(e),-0.0001971152501379373,-0.00019727663820900192
EX_cu2(e),-5.298228037355595e-46,-5.298228037355595e-46
EX_cys_L(e),-0.0025084505543319703,-0.0025491775145243694
EX_ddca(e),1.153314810522258e-06,-6.127563773285866e-06
EX_fe2(e),-1.2414807410649296e-10,-4.712096822844902e-07
EX_fe3(e),0.0,-1.7769804311148244e-23
EX_for(e),0.0025124863589884054,0.0022291281356193286
EX_fum(e),-0.9999679677522877,-1.0
EX_gcald(e),1.1041684897587413e-22,0.0
EX_gln_L(e),-0.02774032114002557,-0.030896083179885066
EX_glu_L(e),0.01104279694701925,0.007886505046147008
EX_gly(e),0.0010940753412009936,0.0008506239610931282
EX_glyasn(e),0.0,0.0
EX_glyasp(e),0.0,0.0
EX_glycys(e),0.0,0.0
EX_glygln(e),0.0,0.0
EX_glyglu(e),0.0,0.0
EX_glyleu(e),0.0,0.0
EX_glymet(e),0.0,0.0
EX_glyphe(e),0.0,0.0
EX_glypro(e),0.0,0.0
EX_glytyr(e),0.0,0.0
EX_h(e),-0.9999786449102518,-1.0
EX_h2(e),0.0,-0.00017620794294150076
EX_h2o(e),-0.7527997610183611,-0.7560738386621028
EX_hdca(e),6.127571711147198e-06,-6.127537975158152e-06
EX_hg2(e),0.0,0.0
EX_his_L(e),-0.0030603638746274807,-0.0030663804447956496
EX_ile_L(e),-0.022232993447669484,-0.022268355779609277
EX_k(e),-4.396830936080958e-10,-2.3629945835925613e-09
EX_lac_L(e),0.0,0.0
EX_leu_L(e),-0.018096850208687915,-0.01811726853227118
EX_lys_L(e),-0.009346379144455467,-0.0093677525051603
EX_mal_L(e),3.2030340223807186e-05,0.0
EX_met_D(e),0.0,0.0
EX_met_L(e),-0.005312643116381383,-0.0053884739161558885
EX_metala(e),0.0,0.0
EX_metsox_R_L(e),0.0,0.0
EX_metsox_S_L(e),0.0,-7.417319819660053e-05
EX_mg2(e),-0.00017184501944538964,-0.00017236751642837742
EX_mn2(e),-8.045398811398329e-09,-2.1215178920668248e-07
EX_na1(e),-9.116249250391075e-27,-2.3828409786696124e-11
EX_nac(e),-0.0001926843792095262,-0.0001974132905538602
EX_nh4(e),1.6893803968461216,1.68609966738783
EX_no2(e),0.9033226324777341,0.9032311639079569
EX_no3(e),-0.9999679671654943,-1.0
EX_o2(e),1.770532397603137e-22,0.0
EX_ocdca(e),6.127534670421618e-06,-1.1567335889088033e-07
EX_pb(e),0.0,0.0
EX_phe_L(e),-0.01039069352048747,-0.010467392616036266
EX_pi(e),-0.016373743860055506,-0.016416825433561006
EX_ppa(e),0.0,0.0
EX_ppi(e),2.1354257197183323e-05,0.0
EX_pro_L(e),-0.006918815124895311,-0.006929607082151461
EX_pydx(e),-1.013492012954755e-38,-7.41756600608968e-05
EX_pydxn(e),-0.00012293774951113202,-0.0001973303400084112
EX_ser_L(e),-0.9999806921245249,-1.0
EX_so4(e),0.0,0.0
EX_succ(e),0.7618273734184321,0.761709948148323
EX_thr_L(e),-0.009729489481603243,-0.009748332167540787
EX_tma(e),3.356594960949655e-24,0.0
EX_tmao(e),0.0,0.0
EX_ttdca(e),6.127560468535418e-06,-6.127574354952275e-06
EX_tyr_L(e),0.005439766252286703,0.005362251269963379
EX_urea(e),0.0,0.0
EX_val_L(e),-0.012476708810300663,-0.012500555408986265
EX_zn2(e),-1.1178670492721845e-07,-8.878400067675631e-07
23DHMPO_REV_537971.5.peg.302-MONOMER_mod_mg2(1),0.5941256798499676,0.0
23DHMPO_FWD_537971.5.peg.302-MONOMER_mod_mg2(1),0.594120662834764,0.0
2AHBUTI_REV_537971.5.peg.302-MONOMER_mod_mg2(1),0.594120662834764,0.0
2AHBUTI_FWD_537971.5.peg.302-MONOMER_mod_mg2(1),0.5941256798499676,0.0
2MBCOATA_REV_537971.5.peg.105-MONOMER,1.0002524598567863,-1.6374208076870516e-28
2MBCOATA_FWD_537971.5.peg.105-MONOMER,1.0002524598567863,0.0
3HACPR1_REV_537971.5.peg.294-MONOMER,0.0,0.0
3HACPR1_FWD_537971.5.peg.294-MONOMER,-3.7950480130160404e-22,-3.7950480130160404e-22
3HACPR2_REV_537971.5.peg.294-MONOMER,0.0,0.0
3HACPR2_FWD_537971.5.peg.294-MONOMER,-3.7950496504369255e-22,-3.7950496504369255e-22
3HAD100_REV_CPLX_3HAD100-0,0.0,0.0
3HAD100_FWD_CPLX_3HAD100-0,1.1533155569369933e-06,0.0
3HAD100_REV_537971.5.peg.328-MONOMER,0.0,0.0
3HAD100_FWD_537971.5.peg.328-MONOMER,1.1533155557654942e-06,0.0
3HAD10M11_REV_CPLX_3HAD100-0,0.0,0.0
3HAD10M11_FWD_CPLX_3HAD100-0,-1.4334832647591239e-56,0.0
3HAD10M11_REV_537971.5.peg.328-MONOMER,0.0,0.0
3HAD10M11_FWD_537971.5.peg.328-MONOMER,0.0,0.0
3HAD10M12_REV_CPLX_3HAD100-0,0.0,0.0
3HAD10M12_FWD_CPLX_3HAD100-0,2.2935732236145982e-55,0.0
3HAD10M12_REV_537971.5.peg.328-MONOMER,0.0,0.0
3HAD10M12_FWD_537971.5.peg.328-MONOMER,2.253548610397321e-22,0.0
3HAD11M12_REV_CPLX_3HAD100-0,0.0,0.0
3HAD11M12_FWD_CPLX_3HAD100-0,-7.167416323795619e-57,0.0
3HAD11M12_REV_537971.5.peg.328-MONOMER,0.0,0.0
3HAD11M12_FWD_537971.5.peg.328-MONOMER,0.0,0.0
3HAD120_REV_CPLX_3HAD100-0,0.0,0.0
3HAD120_FWD_CPLX_3HAD100-0,1.1533150593271168e-06,0.0
3HAD120_REV_537971.5.peg.328-MONOMER,0.0,0.0
3HAD120_FWD_537971.5.peg.328-MONOMER,1.1533150581556186e-06,0.0
3HAD12M13_REV_CPLX_3HAD100-0,0.0,0.0
3HAD12M13_FWD_CPLX_3HAD100-0,0.0,0.0
3HAD12M13_REV_537971.5.peg.328-MONOMER,0.0,0.0
3HAD12M13_FWD_537971.5.peg.328-MONOMER,0.0,0.0
3HAD12M14_REV_CPLX_3HAD100-0,0.0,0.0
3HAD12M14_FWD_CPLX_3HAD100-0,-1.4334832647591239e-56,0.0
3HAD12M14_REV_537971.5.peg.328-MONOMER,0.0,0.0
3HAD12M14_FWD_537971.5.peg.328-MONOMER,2.253543198316551e-22,0.0
3HAD13M14_REV_CPLX_3HAD100-0,0.0,0.0
3HAD13M14_FWD_CPLX_3HAD100-0,0.0,0.0
3HAD13M14_REV_537971.5.peg.328-MONOMER,0.0,0.0
